#field RA        DEC
10001   0.0000   0.0000
10002   2.6667   0.0000
10003   5.3333   0.0000
10004   8.0000   0.0000
10005  10.6667   0.0000
10006  13.3333   0.0000
10007  16.0000   0.0000
10008  18.6667   0.0000
10009  21.3333   0.0000
10010  24.0000   0.0000
10011  26.6667   0.0000
10012  29.3333   0.0000
10013  32.0000   0.0000
10014  34.6667   0.0000
10015  37.3333   0.0000
10016  40.0000   0.0000
10017  42.6667   0.0000
10018  45.3333   0.0000
10019  48.0000   0.0000
10020  50.6667   0.0000
10021  53.3333   0.0000
10022  56.0000   0.0000
10023  58.6667   0.0000
10024  61.3333   0.0000
10025  64.0000   0.0000
10026  66.6667   0.0000
10027  69.3333   0.0000
10028  72.0000   0.0000
10029  74.6667   0.0000
10030  77.3333   0.0000
10031  80.0000   0.0000
10032  82.6667   0.0000
10033  85.3333   0.0000
10034  88.0000   0.0000
10035  90.6667   0.0000
10036  93.3333   0.0000
10037  96.0000   0.0000
10038  98.6667   0.0000
10039 101.3333   0.0000
10040 104.0000   0.0000
10041 106.6667   0.0000
10042 109.3333   0.0000
10043 112.0000   0.0000
10044 114.6667   0.0000
10045 117.3333   0.0000
10046 120.0000   0.0000
10047 122.6667   0.0000
10048 125.3333   0.0000
10049 128.0000   0.0000
10050 130.6667   0.0000
10051 133.3333   0.0000
10052 136.0000   0.0000
10053 138.6667   0.0000
10054 141.3333   0.0000
10055 144.0000   0.0000
10056 146.6667   0.0000
10057 149.3333   0.0000
10058 152.0000   0.0000
10059 154.6667   0.0000
10060 157.3333   0.0000
10061 160.0000   0.0000
10062 162.6667   0.0000
10063 165.3333   0.0000
10064 168.0000   0.0000
10065 170.6667   0.0000
10066 173.3333   0.0000
10067 176.0000   0.0000
10068 178.6667   0.0000
10069 181.3333   0.0000
10070 184.0000   0.0000
10071 186.6667   0.0000
10072 189.3333   0.0000
10073 192.0000   0.0000
10074 194.6667   0.0000
10075 197.3333   0.0000
10076 200.0000   0.0000
10077 202.6667   0.0000
10078 205.3333   0.0000
10079 208.0000   0.0000
10080 210.6667   0.0000
10081 213.3333   0.0000
10082 216.0000   0.0000
10083 218.6667   0.0000
10084 221.3333   0.0000
10085 224.0000   0.0000
10086 226.6667   0.0000
10087 229.3333   0.0000
10088 232.0000   0.0000
10089 234.6667   0.0000
10090 237.3333   0.0000
10091 240.0000   0.0000
10092 242.6667   0.0000
10093 245.3333   0.0000
10094 248.0000   0.0000
10095 250.6667   0.0000
10096 253.3333   0.0000
10097 256.0000   0.0000
10098 258.6667   0.0000
10099 261.3333   0.0000
10100 264.0000   0.0000
10101 266.6667   0.0000
10102 269.3333   0.0000
10103 272.0000   0.0000
10104 274.6667   0.0000
10105 277.3333   0.0000
10106 280.0000   0.0000
10107 282.6667   0.0000
10108 285.3333   0.0000
10109 288.0000   0.0000
10110 290.6667   0.0000
10111 293.3333   0.0000
10112 296.0000   0.0000
10113 298.6667   0.0000
10114 301.3333   0.0000
10115 304.0000   0.0000
10116 306.6667   0.0000
10117 309.3333   0.0000
10118 312.0000   0.0000
10119 314.6667   0.0000
10120 317.3333   0.0000
10121 320.0000   0.0000
10122 322.6667   0.0000
10123 325.3333   0.0000
10124 328.0000   0.0000
10125 330.6667   0.0000
10126 333.3333   0.0000
10127 336.0000   0.0000
10128 338.6667   0.0000
10129 341.3333   0.0000
10130 344.0000   0.0000
10131 346.6667   0.0000
10132 349.3333   0.0000
10133 352.0000   0.0000
10134 354.6667   0.0000
10135 357.3333   0.0000
20136   0.0000   2.7273
30136   0.0000  -2.7273
20137   2.6667   2.7273
30137   2.6667  -2.7273
20138   5.3333   2.7273
30138   5.3333  -2.7273
20139   8.0000   2.7273
30139   8.0000  -2.7273
20140  10.6667   2.7273
30140  10.6667  -2.7273
20141  13.3333   2.7273
30141  13.3333  -2.7273
20142  16.0000   2.7273
30142  16.0000  -2.7273
20143  18.6667   2.7273
30143  18.6667  -2.7273
20144  21.3333   2.7273
30144  21.3333  -2.7273
20145  24.0000   2.7273
30145  24.0000  -2.7273
20146  26.6667   2.7273
30146  26.6667  -2.7273
20147  29.3333   2.7273
30147  29.3333  -2.7273
20148  32.0000   2.7273
30148  32.0000  -2.7273
20149  34.6667   2.7273
30149  34.6667  -2.7273
20150  37.3333   2.7273
30150  37.3333  -2.7273
20151  40.0000   2.7273
30151  40.0000  -2.7273
20152  42.6667   2.7273
30152  42.6667  -2.7273
20153  45.3333   2.7273
30153  45.3333  -2.7273
20154  48.0000   2.7273
30154  48.0000  -2.7273
20155  50.6667   2.7273
30155  50.6667  -2.7273
20156  53.3333   2.7273
30156  53.3333  -2.7273
20157  56.0000   2.7273
30157  56.0000  -2.7273
20158  58.6667   2.7273
30158  58.6667  -2.7273
20159  61.3333   2.7273
30159  61.3333  -2.7273
20160  64.0000   2.7273
30160  64.0000  -2.7273
20161  66.6667   2.7273
30161  66.6667  -2.7273
20162  69.3333   2.7273
30162  69.3333  -2.7273
20163  72.0000   2.7273
30163  72.0000  -2.7273
20164  74.6667   2.7273
30164  74.6667  -2.7273
20165  77.3333   2.7273
30165  77.3333  -2.7273
20166  80.0000   2.7273
30166  80.0000  -2.7273
20167  82.6667   2.7273
30167  82.6667  -2.7273
20168  85.3333   2.7273
30168  85.3333  -2.7273
20169  88.0000   2.7273
30169  88.0000  -2.7273
20170  90.6667   2.7273
30170  90.6667  -2.7273
20171  93.3333   2.7273
30171  93.3333  -2.7273
20172  96.0000   2.7273
30172  96.0000  -2.7273
20173  98.6667   2.7273
30173  98.6667  -2.7273
20174 101.3333   2.7273
30174 101.3333  -2.7273
20175 104.0000   2.7273
30175 104.0000  -2.7273
20176 106.6667   2.7273
30176 106.6667  -2.7273
20177 109.3333   2.7273
30177 109.3333  -2.7273
20178 112.0000   2.7273
30178 112.0000  -2.7273
20179 114.6667   2.7273
30179 114.6667  -2.7273
20180 117.3333   2.7273
30180 117.3333  -2.7273
20181 120.0000   2.7273
30181 120.0000  -2.7273
20182 122.6667   2.7273
30182 122.6667  -2.7273
20183 125.3333   2.7273
30183 125.3333  -2.7273
20184 128.0000   2.7273
30184 128.0000  -2.7273
20185 130.6667   2.7273
30185 130.6667  -2.7273
20186 133.3333   2.7273
30186 133.3333  -2.7273
20187 136.0000   2.7273
30187 136.0000  -2.7273
20188 138.6667   2.7273
30188 138.6667  -2.7273
20189 141.3333   2.7273
30189 141.3333  -2.7273
20190 144.0000   2.7273
30190 144.0000  -2.7273
20191 146.6667   2.7273
30191 146.6667  -2.7273
20192 149.3333   2.7273
30192 149.3333  -2.7273
20193 152.0000   2.7273
