#Table1
objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721229774920,756,301,3,414,72,6,177.879650089015,-0.106619737770056,15.9634,14.71016,14.31923,14.90641,14.1989,0.004958918,0.003453769,0.003941281,0.004908252,0.004606387
1237648721229774901,756,301,3,414,53,6,177.863222301364,-0.0960825709742102,15.38748,14.65861,13.83759,13.84464,13.72684,0.005148582,0.01005105,0.003211803,0.002544149,0.005369199
1237671126978527252,5973,301,1,80,20,6,177.773714536517,-0.0481214142802925,15.73284,14.58227,14.23687,14.11812,14.09663,0.004526129,0.0031715,0.003385752,0.003483297,0.003689884
1237648720693166161,756,301,2,418,81,6,178.478504708613,-0.512216640645204,15.59942,14.34133,13.92377,13.7524,13.72757,0.00469529,0.003991019,0.005100077,0.004251274,0.004419987
1237648720693166140,756,301,2,418,60,6,178.454045826875,-0.482316089628839,15.86733,14.73106,14.33437,14.2165,14.19488,0.00466453,0.003505086,0.003860707,0.003864419,0.00405609
1237674649928073276,6793,301,3,120,60,6,178.611313031652,-0.254350192934131,15.26652,14.32366,13.82216,13.85449,13.67975,0.005461085,0.009577738,0.003820625,0.002325745,0.005670325
1237674651538751511,6793,301,6,121,23,6,178.715134997053,0.919403669385087,15.40115,14.23591,13.90727,13.80184,13.81032,0.004981552,0.003581176,0.00318626,0.003135123,0.003852472
1237648722840977459,756,301,6,423,51,6,179.152961164227,1.10591355156981,15.79179,14.21489,13.59762,15.60672,13.30593,0.004822213,0.003365953,0.003026461,0.01312336,0.003308498
1237671140407574651,5976,301,2,191,123,6,177.183299732576,0.283827425314241,15.98418,14.95257,13.69302,13.42191,14.23624,0.008827474,0.005506917,0.001772532,0.002948133,0.01039918
1237648721230626918,756,301,3,427,102,6,179.785448227127,-0.206237294571034,15.08961,13.71177,13.35404,13.18047,13.63876,0.005751377,0.002247839,0.001515714,0.002036033,0.006905789
1237648722303189035,756,301,5,409,43,6,177.049353742479,0.660904887686637,15.52862,14.76493,13.88505,13.83282,13.87966,0.005549183,0.007153657,0.002519714,0.0053661,0.005662183
1237650372092297253,1140,301,6,177,37,6,179.438472747938,-1.38801337883659,15.99382,14.40261,13.76764,13.91484,13.42353,0.005065706,0.003303422,0.003262666,0.00196127,0.003470735
1237650762926719002,1231,301,6,61,26,6,178.340195188623,-1.4828850533873,15.1415,14.23604,14.03081,13.9529,13.94471,0.003896749,0.002843067,0.002708826,0.00272633,0.003446204
1237671126977871892,5973,301,1,70,20,6,177.003171624672,-1.36533291184157,15.48886,14.36647,14.03362,13.90622,13.8776,0.004360807,0.003096077,0.003359722,0.003737096,0.003844055
1237671128052727817,5973,301,3,87,9,6,177.468417174615,1.27640017428773,15.20211,14.12836,13.98391,13.98459,14.02586,0.004325809,0.003084775,0.003221104,0.003771222,0.004091186
1237671139870376037,5976,301,1,186,101,6,177.122903116293,-0.493323078127394,15.77435,14.79391,14.4685,14.31503,14.28688,0.005241454,0.004012313,0.004697691,0.00512732,0.005136343
1237674649390743555,6793,301,2,113,3,6,177.482363785354,-0.79924054702496,15.83489,14.43173,13.69764,13.62773,13.5983,0.00622093,0.004424895,0.00424799,0.003859735,0.00514036
1237674649390743615,6793,301,2,113,63,6,177.59563395407,-0.782827512426338,15.25709,15.8562,13.41191,13.33227,13.66789,0.005979332,0.01361097,0.002470129,0.002691735,0.006795342
1237674649391792140,6793,301,2,129,12,6,179.86230063263,-0.723674832069431,15.06731,14.9135,14.93745,15.01487,13.42547,0.006097214,0.01040093,0.01205161,0.01346794,0.01255039
1237648720693690409,756,301,2,426,41,6,179.589547284854,-0.52965615737055,15.20614,15.49175,13.55764,13.50364,13.49707,0.004518972,0.01163199,0.003655427,0.003908038,0.004951071
1237648720693756014,756,301,2,427,110,6,179.778569487692,-0.596389701150735,15.48132,14.08255,13.41918,14.80922,13.58967,0.005446048,0.003462578,0.002361723,0.01136539,0.005448928
1237648721230430280,756,301,3,424,72,6,179.347747309358,-0.064848106169367,15.46278,14.25186,13.89667,15.92965,13.73926,0.005399754,0.003673281,0.0036716,0.01391679,0.00540929
1237648721766711361,756,301,4,415,65,6,178.001346863536,0.278465325724634,15.18617,15.39043,13.05501,15.01187,13.40278,0.006726797,0.01260622,0.001432983,0.01232718,0.006845234
1237648721766842444,756,301,4,417,76,6,178.287649860069,0.363201906111012,15.70222,14.53178,15.451,13.99855,13.90808,0.005323614,0.004437958,0.01249103,0.00225502,0.004951322
1237648721766711381,756,301,4,415,85,6,178.02482070736,0.214655916549432,15.65376,14.35922,13.44205,13.27292,13.55917,0.006398329,0.00390941,0.001659996,0.001098146,0.00630938
1237648721230430312,756,301,3,424,104,6,179.3761444676,-0.112408607357781,15.981,14.61305,14.1234,14.28224,13.82533,0.005042653,0.003687726,0.003671191,0.002170732,0.004491788
