#field       RA        DEC
0030800001  179.9166   1.2500             
0030800002  179.4166   1.2500
0030800003  179.9166   0.7500
0030800004  179.4166   0.7500
0030800005  178.4166   1.2500
0030800006  178.9166   1.2500
0030800007  178.4166   0.7500
0030800008  178.9166   0.7500
0030800009  177.9166   1.2500
0030800010  177.4166   1.2500
0030800011  177.9166   0.7500
0030800012  177.4166   0.7500
0030800013  179.9166   0.2500
0030800014  179.4166   0.2500
0030800015  179.9166  -0.2500
0030800016  179.4166  -0.2500
0030800017  178.4166   0.2500
0030800018  178.9166   0.2500
0030800019  178.4166  -0.2500
0030800020  178.9166  -0.2500
0030800021  177.9166   0.2500
0030800022  177.4166   0.2500
0030800023  177.9166  -0.2500
0030800024  177.4166  -0.2500
0030800025  177.9166  -1.2500
0030800026  177.4166  -1.2500
0030800027  177.9166  -0.7500
0030800028  177.4166  -0.7500
0030800029  179.9166  -1.2500
0030800030  179.4166  -1.2500
0030800031  179.9166  -0.7500
0030800032  179.4166  -0.7500
0030800033  178.4166  -1.2500
0030800034  178.9166  -1.2500
0030800035  178.4166  -0.7500
0030800036  178.9166  -0.7500
0030800037  178.4166   1.0000
0030800038  178.4166   0.5000
0030800039  178.4166   0.0000
0030800040  178.4166  -0.5000
0030800041  178.4166  -1.0000
0030900001  281.2500   1.2500
0030900002  280.7500   1.2500
0030900003  281.2500   0.7500
0030900004  280.7500   0.7500
0030900005  280.2500   1.2500
0030900006  279.7500   1.2500
0030900007  280.2500   0.7500
0030900008  279.7500   0.7500
0030900009  279.2500   1.2500
0030900010  278.7500   1.2500
0030900011  279.2500   0.7500
0030900012  278.7500   0.7500
0030900013  281.2500   0.2500
0030900014  280.7500   0.2500
0030900015  281.2500  -0.2500
0030900016  280.7500  -0.2500
0030900017  280.2500   0.2500
0030900018  279.7500   0.2500
0030900019  280.2500  -0.2500
0030900020  279.7500  -0.2500
0030900021  279.2500   0.2500
0030900022  278.7500   0.2500
0030900023  279.2500  -0.2500
0030900024  278.7500  -0.2500
0030900025  279.2500  -1.2500
0030900026  278.7500  -1.2500
0030900027  279.2500  -0.7500
0030900028  278.7500  -0.7500
0030900029  281.2500  -1.2500
0030900030  280.7500  -1.2500
0030900031  281.2500  -0.7500
0030900032  280.7500  -0.7500
0030900033  280.2500  -1.2500
0030900034  279.7500  -1.2500
0030900035  280.2500  -0.7500
0030900036  279.7500  -0.7500
0030900037  280.2500   1.0000
0030900038  280.2500   0.5000
0030900039  280.2500   0.0000
0030900040  280.2500  -0.5000
0030900041  280.2500  -1.0000
0031000001   14.5000   1.2500           
0031000002   14.0000   1.2500
0031000003   14.5000   0.7500
0031000004   14.0000   0.7500
0031000005   13.5000   1.2500
0031000006   13.0000   1.2500
0031000007   13.5000   0.7500
0031000008   13.0000   0.7500
0031000009   12.5000   1.2500
0031000010   12.0000   1.2500
0031000011   12.5000   0.7500
0031000012   12.0000   0.7500
0031000013   14.5000   0.2500
0031000014   14.0000   0.2500
0031000015   14.5000  -0.2500
0031000016   14.0000  -0.2500
0031000017   13.5000   0.2500
0031000018   13.0000   0.2500
0031000019   13.5000  -0.2500
0031000020   13.0000  -0.2500
0031000021   12.5000   0.2500
0031000022   12.0000   0.2500
0031000023   12.5000  -0.2500
0031000024   12.0000  -0.2500
0031000025   12.5000  -1.2500
0031000026   12.0000  -1.2500
0031000027   12.5000  -0.7500
0031000028   12.0000  -0.7500
0031000029   14.5000  -1.2500
0031000030   14.0000  -1.2500
0031000031   14.5000  -0.7500
0031000032   14.0000  -0.7500
0031000033   13.5000  -1.2500
0031000034   13.0000  -1.2500
0031000035   13.5000  -0.7500
0031000036   13.0000  -0.7500
0031000037   13.5000   1.0000
0031000038   13.5000   0.5000
0031000039   13.5000   0.0000
0031000040   13.5000  -0.5000
0031000041   14.5000  -1.0000
0031000042   13.5000  -1.0000
0031100001  105.2500   1.2500           
0031100002  104.7500   1.2500 
0031100003  105.2500   0.7500
0031100004  104.7500   0.7500
0031100005  104.2500   1.2500
0031100006  103.7500   1.2500
0031100007  104.2500   0.7500
0031100008  103.7500   0.7500
0031100009  103.2500   1.2500
0031100010  102.7500   1.2500
0031100011  103.2500   0.7500
0031100012  102.7500   0.7500
0031100013  105.2500   0.2500
0031100014  104.7500   0.2500
0031100015  105.2500  -0.2500
0031100016  104.7500  -0.2500
0031100017  104.2500   0.2500
0031100018  103.7500   0.2500
0031100019  104.2500  -0.2500
0031100020  103.7500  -0.2500
0031100021  103.2500   0.2500
0031100022  102.7500   0.2500
0031100023  103.2500  -0.2500
0031100024  102.7500  -0.2500
0031100025  103.2500  -1.2500
0031100026  102.7500  -1.2500
0031100027  103.2500  -0.7500
0031100028  102.7500  -0.7500
0031100029  105.2500  -1.2500
0031100030  104.7500  -1.2500
0031100031  105.2500  -0.7500
0031100032  104.7500  -0.7500
0031100033  104.2500  -1.2500
0031100034  103.7500  -1.2500
0031100035  104.2500  -0.7500
0031100036  103.7500  -0.7500
0031100037  104.2500   1.0000
0031100038  104.2500   0.5000
0031100039  104.2500   0.0000
0031100040  104.2500  -0.5000
0031100041  104.2500  -1.0000
